ts,vault_id,count,mean_s194,stddev_s194
2023-04-01 00:00:00,1008,11544,29.42784130284134,4.087112288436935
2023-04-01 00:00:00,1011,11419,26.158420176898126,6.571729995118744
2023-04-01 00:00:00,1019,11455,27.911654299432595,5.3757420508647265
2023-04-01 00:00:00,1013,11358,26.924634618770913,5.091186527896591
2023-04-01 00:00:00,1000,11422,22.211521624934388,2.43401607763594
2023-04-01 00:00:00,1006,11551,22.9308284996969,3.786164514269446
2023-04-01 00:00:00,1010,12567,22.14975730086728,2.8248820082681774
2023-04-01 00:00:00,1015,11495,26.181470204436675,4.101732384852369
2023-04-01 00:00:00,1005,11483,21.357136636767382,2.799930055062016
2023-04-01 00:00:00,1009,11274,27.18103601206315,3.062950316463351
2023-04-01 00:00:00,1014,12530,26.3664804469275,5.9345347208990535
2023-04-01 00:00:00,1001,11310,18.37807250221055,1.8695961296247139
2023-04-01 00:00:00,1012,11557,30.566236912693658,6.6288552961652725
2023-04-01 00:00:00,1002,12671,22.709573040801864,2.6159493318637717
2023-04-01 00:00:00,1016,12619,27.23631032569931,5.3366409932246945
2023-04-01 00:00:00,1020,12459,26.116221205554165,5.438145238863674
2023-04-01 00:00:00,1007,12508,25.880316597377625,4.608905639024935
2023-04-01 00:00:00,1003,11490,18.503655352480486,2.3290605725102504
2023-04-01 00:00:00,1004,11504,19.873956884562002,2.7683968900335114
2023-04-01 00:00:00,1017,11312,28.282885431400345,5.496374148383831
2023-04-01 00:00:00,1018,11499,27.8447691103573,4.2145445639114625
