ts,vault_id,count,mean_s194,stddev_s194
2023-04-01 00:00:00,1008,1571,28.99427116486313,4.343305005377229
2023-04-01 00:00:00,1011,1506,26.566401062417004,6.217746538934407
2023-04-01 00:00:00,1015,1529,25.47155003270111,4.244723582230476
2023-04-01 00:00:00,1020,1513,26.769332452081994,5.52761806974619
2023-04-01 00:00:00,1017,1501,27.862091938707554,5.462871835174391
2023-04-01 00:00:00,1010,1470,23.151700680272132,2.889756885845515
2023-04-01 00:00:00,1016,1499,26.340893929286175,5.102605633113926
2023-04-01 00:00:00,1006,1573,22.99237126509857,3.302584813039066
2023-04-01 00:00:00,1000,1515,23.09570957095709,2.381279103042316
2023-04-01 00:00:00,1004,1510,20.63245033112581,2.667951554321404
2023-04-01 00:00:00,1002,1538,23.70546163849153,2.6268190552234976
2023-04-01 00:00:00,1013,1510,26.03708609271519,4.782888872159247
2023-04-01 00:00:00,1019,1567,27.335673261008314,5.413633743570103
2023-04-01 00:00:00,1012,1546,30.212160413971567,7.954092040199141
2023-04-01 00:00:00,1018,1549,26.946417043253724,4.139723165932967
2023-04-01 00:00:00,1003,1560,19.367948717948696,2.2879326789675845
2023-04-01 00:00:00,1001,1489,19.294828744123524,1.9585026547705104
2023-04-01 00:00:00,1014,1509,25.752153744201475,5.989563508423623
2023-04-01 00:00:00,1007,1507,25.554744525547495,4.122963385251407
2023-04-01 00:00:00,1009,1468,27.790871934604912,3.468506441566738
2023-04-01 00:00:00,1005,1545,21.985113268608437,2.6546295474965445
2023-04-04 00:00:00,1004,1684,19.786817102137796,2.783798656724458
2023-04-04 00:00:00,1012,1676,30.516706443914117,6.611547212944729
2023-04-04 00:00:00,1017,1634,28.460220318237408,5.49073228644855
2023-04-04 00:00:00,1014,1618,26.257725587144634,5.94655273612478
2023-04-04 00:00:00,1015,1626,26.423124231242312,4.28470557494231
2023-04-04 00:00:00,1013,1646,26.745443499392458,4.695101296688652
2023-04-04 00:00:00,1016,1624,27.29371921182267,5.364180045798845
2023-04-04 00:00:00,1005,1627,21.44929317762751,2.872502571854398
2023-04-04 00:00:00,1003,1647,18.427443837279917,2.3091923046755185
2023-04-04 00:00:00,1010,1654,22.10701330108825,2.7794573806296214
2023-04-04 00:00:00,1008,1662,30.432611311672698,4.063164174719115
2023-04-04 00:00:00,1001,1597,18.371321227301166,1.822101590374589
2023-04-04 00:00:00,1011,1655,26.224773413897285,6.4774926241025135
2023-04-04 00:00:00,1018,1643,28.26902008521,4.3631647378992024
2023-04-04 00:00:00,1002,1701,22.571428571428594,2.562004204957222
2023-04-04 00:00:00,1006,1663,22.992182802164777,4.00187218343866
